,budget,revenue,runtime,original_language,vote_average,vote_count,main_production_company,main_spoken_language,main_genre,release_month,release_year
66,30000000,51148651,133,en,6.9,927,Lionsgate,English,Romance,11,2010
67,15000000,12036149,121,en,7.0,180,The Javelina Film Company,English,Adventure,11,2005
68,75000000,117698894,115,en,7.3,5635,Summit Entertainment,Français,Thriller,5,2013
69,40000000,103071443,112,en,6.3,293,Revolution Studios,English,Fantasy,12,2007
70,75000000,14010690,99,en,5.0,151,Universal Pictures,English,Horror,1,1999
71,62000000,41819064,87,en,4.3,243,Paramount Pictures,English,Comedy,6,2008
72,92000000,188072649,107,en,6.5,1707,DreamWorks SKG,English,Action,8,2008
73,74050,176153,98,en,5.7,38,Wild Bunch,English,Drama,9,2004
74,35000000,93246388,109,en,6.0,450,Universal Pictures,English,Comedy,3,2010
75,25000000,63100000,109,en,6.1,777,Universal Pictures,English,Thriller,1,2012
76,37000000,163720069,96,en,6.5,1251,Mike Zoss Productions,English,Comedy,9,2008
77,7000000,31430334,105,en,6.6,492,Mike Zoss Productions,English,Comedy,10,2009
78,79000000,173013509,154,en,6.7,545,Miramax Films,English,Drama,12,2003
79,8000000,2033165,111,en,5.1,142,Isle of Man Film,English,Action,8,2008
80,36000000,189712432,84,en,5.8,547,Starz Animation,English,Animation,1,2011
81,20000000,8352885,100,en,5.9,587,Lionsgate,English,Action,5,2013
82,25000000,15502112,94,en,6.2,282,Universal Studios,English,Adventure,7,1985
83,28000000,60700000,103,en,6.3,2275,Universal Pictures,English,Action,7,2013
84,110000000,574480841,108,en,6.4,2949,Ingenious Film Partners,English,Action,10,2006
85,70000000,113280098,128,en,6.5,919,Scott Free Productions,العربية,Action,10,2008
86,40000000,97552050,104,en,6.5,1825,Universal Pictures,English,Adventure,2,2011
87,25000000,8613462,132,en,6.5,109,Dino De Laurentiis Company,English,Action,5,1984
88,23000000,10827816,102,en,6.6,56,Columbia Pictures Corporation,English,Drama,12,1999
89,237000000,2787965087,162,en,7.2,12114,Ingenious Film Partners,English,Action,12,2009
90,11000000,39363635,122,en,7.3,350,Havoc,English,Drama,12,1995
91,11000000,104931801,117,en,7.9,4564,Twentieth Century Fox Film Corporation,English,Horror,5,1979
92,10500000,68700000,149,en,7.9,3075,Stanley Kubrick Productions,English,Science Fiction,4,1968
93,20000000,187000000,134,en,7.9,3787,Plan B Entertainment,English,Drama,10,2013
94,19000000,44017374,144,en,8.1,3890,Hawk Films,English,Horror,5,1980
95,28000000,33139618,117,en,7.9,3833,Shaw Brothers,English,Science Fiction,6,1982
96,780000,1500000,93,en,5.7,20,New World Pictures,Deutsch,Action,7,1976
97,37000000,96047633,114,en,5.8,577,New Line Cinema,English,Drama,1,2011
98,55000000,141047179,134,en,5.9,122,Hollywood Pictures,English,History,12,1996
99,60000000,163403799,91,en,4.9,968,Spyglass Entertainment,English,Thriller,6,2008
100,18000000,17062499,86,en,4.1,124,Lionsgate,English,Adventure,1,2016
101,20000000,39300000,88,en,5.3,125,Lions Gate Family Entertainment,English,Family,9,2010
102,1200000,6000000,161,it,8.1,2371,United Artists,Italiano,Western,12,1966
103,25000000,2438031,93,en,3.8,44,International Traders,English,Comedy,1,1993
104,100000000,193772504,167,en,7.1,1964,Miramax Films,English,Drama,12,2002
105,30000000,967000,92,en,5.2,185,Namco,日本語,Crime,3,2010
106,2000000,4100000,87,ja,6.7,34,New World Pictures,English,Action,12,1984
107,5000000,61768190,93,ja,6.8,377,Toei Animation,日本語,Action,4,2015
108,3500000,34000000,96,en,6.9,276,Dead Films,English,Horror,7,1985
109,100000000,108103450,136,en,6.5,321,Casey Silver Productions,English,Western,3,2004
110,125000000,767820459,149,en,6.5,2773,Columbia Pictures,English,Thriller,5,2006
111,175000000,497409852,163,en,6.9,2841,Plan B Entertainment,English,Adventure,5,2004
112,200000000,531865000,116,en,6.7,5683,Paramount Pictures,English,Action,6,2013
113,30000000,210819611,112,en,7.3,3451,WingNut Films,Afrikaans,Science Fiction,8,2009
114,80000000,201584141,80,en,5.2,228,De Line Pictures,English,Comedy,12,2010
115,25000000,29200000,94,en,5.6,600,Broadway Video,English,Action,9,2016
116,20000000,117224271,94,en,6.4,434,MTV Films,Română,Comedy,10,2010
117,30000000,64626786,89,en,4.8,474,Summit Entertainment,English,Horror,12,2011
118,120000000,609016565,127,en,7.2,5912,Ingenious Film Partners,English,Adventure,11,2012
119,105000000,266000000,109,en,5.1,934,Centropolis Entertainment,English,Adventure,2,2008
120,30000000,93772522,102,en,5.1,127,Alcon Entertainment,English,Comedy,1,2005
121,15000000,10367161,124,en,7.1,103,Walt Disney Pictures,English,Drama,9,2016
122,65000000,73706,87,en,2.3,28,Threshold Entertainment,English,Animation,6,2012
123,15000,3274,90,en,2.8,18,Fairway International Pictures,English,Horror,6,1962
124,44000000,21400000,118,en,3.0,259,Franchise Pictures,English,Action,5,2000
125,12000000,4922166,90,en,3.0,23,19 Entertainment,English,Comedy,6,2003
126,25000000,14109284,87,en,3.1,250,Grosvenor Park Media Ltd.,English,Action,8,2008
127,20000000,86865564,86,en,3.2,334,Twentieth Century Fox Film Corporation,English,Action,1,2007
128,12000000,36450736,97,en,3.3,75,TriStar Pictures,English,Science Fiction,3,1999
129,5500000,4865000,95,en,3.3,16,Marimark Productions,English,Comedy,6,1980
130,7000000,8914881,105,en,3.4,23,Golan-Globus,English,Drama,8,1984
131,22000000,5271666,104,en,3.4,38,Twentieth Century Fox Film Corporation,English,Drama,9,2001
132,23000000,51881013,89,en,3.5,227,Universal Pictures,English,Adventure,7,1987
133,54000000,7266209,121,en,3.5,105,City Light Films,English,Drama,8,2003
134,16000,1000000,66,en,3.5,17,Three Dimension Pictures,English,Science Fiction,6,1953
135,25000000,2405420,95,en,3.6,120,Boll KG,English,Action,10,2005
136,18000000,19265302,94,en,3.6,25,Paramount Pictures,English,Action,7,1984
137,4000000,4100000,103,en,3.6,124,Newmarket Capital Group,English,Thriller,4,2009
138,16000000,19682924,110,en,3.7,396,Stoney Lake Entertainment,English,Thriller,10,2014
139,30000000,51376861,95,en,3.8,225,New Line Cinema,English,Action,11,1997
140,30000000,84646831,84,en,3.8,370,Regency Enterprises,English,Comedy,1,2008
141,500000,500000,87,en,3.8,20,The Asylum,English,Comedy,6,2012
142,3500000,2341309,89,en,3.9,65,Gramercy Pictures,English,Action,11,1994
143,19000000,12918858,115,en,3.9,32,Columbia Pictures Corporation,English,Drama,6,1985
144,5000000,846704,99,en,3.9,15,Atlas 3 Productions,English,Drama,9,2014
145,600000,185898,95,en,3.9,96,Ultra Muchos Productions,English,Horror,1,1994
146,1000000,1753979,83,fr,3.9,21,New Horizon Picture Corp.,English,Horror,5,1993
147,15000000,2042530,90,en,3.9,16,Warner Bros.,English,Comedy,1,1996
148,12000000,9620399,105,en,4.0,81,TriStar Pictures,English,Crime,7,2007
149,11000000,15500000,80,en,4.0,15,Alive Productions,English,Horror,8,2008
150,79000000,149673788,91,en,4.0,619,Columbia Pictures,English,Comedy,11,2011
151,11000000,23978402,86,en,4.1,54,Robert Simonds Productions,English,Action,10,2001
152,50000000,11534477,91,en,4.1,54,Silver Pictures,English,Action,11,1995
153,160000000,164508066,121,en,4.1,439,Twentieth Century Fox Film Corporation,English,Action,6,1997
154,5000000,8493728,83,en,4.1,319,Dimension Films,English,Horror,5,2012
155,50000000,13260050,92,en,4.1,37,Metro-Goldwyn-Mayer (MGM),English,Action,3,1999
156,20000000,7000000,83,en,4.1,20,Mpower Pictures,English,Comedy,10,2008
157,19000000,39267515,85,en,4.1,211,New Line Cinema,English,Comedy,6,2003
158,250000,56825,99,en,4.1,75,Filmworks/FX,English,Thriller,7,2013
159,4000000,52425855,91,en,4.1,1034,Universal Pictures,English,Thriller,1,2015
160,3500000,7700000,90,en,4.1,33,Premise Media Corporation,English,Documentary,4,2008
161,20000000,80547866,82,en,4.2,326,Regency Enterprises,English,Horror,8,2010
162,22000000,10696210,104,en,4.2,309,Orion Pictures,English,Action,4,1993
163,5000000,25900,84,en,4.2,18,Freestyle Releasing,English,Action,6,2006
164,75000000,5409517,93,en,4.2,79,Twentieth Century Fox Film Corporation,English,Adventure,2,2001
165,3000000,15938065,87,en,4.2,197,New Line Cinema,English,Fantasy,8,1993
166,45000000,10667893,82,en,4.2,138,TriStar Pictures,English,Action,8,1999
167,1000000,35000000,81,en,4.2,58,Empire Pictures,English,Comedy,11,1984
168,20500000,87987055,99,en,4.2,266,Universal Pictures,English,Thriller,3,1983
169,16000000,1686429,97,en,4.2,49,Quincy Jones-David Salzman Entertainment,English,Science Fiction,8,1997
170,100000000,82102379,104,en,4.2,833,Village Roadshow Pictures,Español,Action,7,2004
171,10000000,7316658,96,en,4.3,36,New Line Cinema,English,Action,10,2001
172,20000000,21164799,92,en,4.3,337,Open Road Films (II),English,Romance,1,2016
173,55000000,14375181,107,en,4.3,29,Columbia Pictures,English,Action,5,1987
174,15000000,12308521,96,en,4.3,20,Warner Bros.,English,Comedy,7,1986
175,25000000,24362772,108,en,4.3,29,Paramount Pictures,Français,Comedy,3,2000
176,25000000,15843608,87,en,4.4,107,Davis-Panzer Productions,English,Action,9,2000
177,27000000,85564310,89,en,4.4,228,Dimension Films,English,Family,8,2011
178,50000000,69425966,92,en,4.4,278,Troublemaker Studios,English,Adventure,6,2005
179,23000000,71368,76,en,4.4,40,Warner Bros.,English,Fantasy,10,1994
180,50000000,113309743,115,en,4.4,210,Columbia Pictures,English,Drama,6,1996
181,2500000,3003,102,en,4.4,91,Gordon Bijelonic / Datari Turner Films,English,Drama,2,2012
182,5000000,15179302,88,en,4.4,204,StudioCanal,English,Horror,2,2013
183,7000000,36433975,89,en,4.4,218,Twentieth Century Fox Film Corporation,English,Horror,1,2014
184,120000000,167977596,100,en,4.4,2322,Twentieth Century Fox Film Corporation,English,Action,8,2015
185,70000000,61279452,99,en,4.4,542,Millennium Films,English,Action,1,2014
186,6000000,18197398,89,en,4.4,94,Revolution Studios,English,Comedy,8,2007
187,60000000,48585416,89,en,4.4,205,Jerry Weintraub Productions,English,Thriller,8,1998
188,83000000,59468275,90,en,4.4,140,Universal Pictures,English,Science Fiction,4,2000
189,500000,15000000,139,en,4.4,27,Benaroya Pictures,English,Science Fiction,3,2014
190,14000000,30749142,118,en,4.5,137,Warner Bros.,English,Horror,6,1977
191,20000000,4634062,107,en,4.5,142,Hyde Park Films,English,Action,3,2011
192,13000000,37664855,94,en,4.5,230,Dimension Films,English,Horror,7,2002
193,17000000,9627492,82,en,4.5,140,StudioCanal,English,Horror,8,2012
194,4000000,10898293,92,en,4.5,162,Universal Pictures,English,Horror,5,2016
195,11000000,16951798,91,en,4.5,298,New Line Cinema,English,Horror,7,2001
196,900000,6980986,92,en,4.5,50,Corn Cobb Productions,English,Horror,1,1993
197,47000000,10539000,80,en,4.5,427,Warner Bros.,English,Action,6,2010
